# categorie|francais|danois|pos|mots-cles fr (;)|mot-cle en (repli)|hint force
verbes|voir|se|verbe|voir|see|
verbes|entendre|høre|verbe|entendre|hear|
verbes|dire|sige|verbe|dire|say|
verbes|donner|give|verbe|donner|give|
verbes|prendre|tage|verbe|prendre|take|
verbes|trouver|finde|verbe|trouver|find|
verbes|croire|tro|verbe|croire|believe|
verbes|penser|tænke|verbe|penser|think|
verbes|trouver (avis), sembler|synes|verbe|trouver;sembler;penser|think|avis : « je trouve que »
verbes|connaître|kende|verbe|connaître|know|une personne, un lieu
verbes|aimer (d'amour)|elske|verbe|aimer|love|
verbes|habiter|bo|verbe|habiter;demeurer;vivre|live|
verbes|s'appeler|hedde|verbe|appeler;nommer|be called|
verbes|demander|spørge|verbe|demander|ask|poser une question
verbes|répondre|svare|verbe|répondre|answer|
verbes|ouvrir|åbne|verbe|ouvrir|open|
verbes|fermer|lukke|verbe|fermer|close|
verbes|être assis|sidde|verbe|assis|sit|
verbes|être debout|stå|verbe|debout|stand|
verbes|être couché|ligge|verbe|couché;allongé|lie|
verbes|commencer|begynde|verbe|commencer|begin|
verbes|arrêter|stoppe|verbe|arrêter|stop|
verbes|téléphoner|ringe|verbe|téléphoner;appeler|call|
verbes|essayer|prøve|verbe|essayer|try|
verbes|utiliser|bruge|verbe|utiliser;employer|use|
verbes|recevoir, obtenir|få|verbe|recevoir;obtenir|get|
verbes|devenir|blive|verbe|devenir|become|
verbes|voyager|rejse|verbe|voyager|travel|
verbes|conduire|køre|verbe|conduire|drive|un véhicule
verbes|faire du vélo|cykle|verbe|vélo;bicyclette|cycle|
verbes|déménager|flytte|verbe|déménager;déplacer|move|
verbes|envoyer|sende|verbe|envoyer|send|
verbes|montrer|vise|verbe|montrer|show|
verbes|oublier|glemme|verbe|oublier|forget|
verbes|se souvenir|huske|verbe|souvenir;rappeler|remember|
verbes|jouer (enfant)|lege|verbe|jouer|play|
verbes|jouer (jeu, sport, instrument)|spille|verbe|jouer|play|
verbes|chanter|synge|verbe|chanter|sing|
verbes|danser|danse|verbe|danser|dance|
verbes|laver|vaske|verbe|laver|wash|
verbes|vendre|sælge|verbe|vendre|sell|
verbes|louer|leje|verbe|louer|rent|
verbes|commander|bestille|verbe|commander|order|
verbes|signifier|betyde|verbe|signifier|mean|
verbes|espérer|håbe|verbe|espérer|hope|
verbes|sentir, ressentir|føle|verbe|sentir;ressentir|feel|
verbes|rire|grine|verbe|rire|laugh|
verbes|pleurer|græde|verbe|pleurer|cry|
verbes|sourire|smile|verbe|sourire|smile|
verbes|embrasser|kysse|verbe|embrasser|kiss|
verbes|se réveiller|vågne|verbe|réveiller|wake|
verbes|aller chercher|hente|verbe|chercher|fetch|
verbes|rencontrer|møde|verbe|rencontrer|meet|
verbes|rendre visite|besøge|verbe|visite;visiter|visit|
verbes|inviter|invitere|verbe|inviter|invite|
verbes|gagner|vinde|verbe|gagner|win|
verbes|perdre|tabe|verbe|perdre|lose|
verbes|vivre|leve|verbe|vivre|live|
verbes|mourir|dø|verbe|mourir|die|
verbes|porter|bære|verbe|porter|carry|
verbes|tomber|falde|verbe|tomber|fall|
verbes|sauter|hoppe|verbe|sauter|jump|
verbes|lancer|kaste|verbe|lancer;jeter|throw|
verbes|tirer|trække|verbe|tirer|pull|
verbes|pousser|skubbe|verbe|pousser|push|
verbes|soulever|løfte|verbe|soulever;lever|lift|
verbes|étirer|strække|verbe|étirer;tendre|stretch|
verbes|plier|bøje|verbe|plier;courber|bend|
verbes|grimper|klatre|verbe|grimper|climb|
verbes|écouter|lytte|verbe|écouter|listen|
verbes|regarder|kigge|verbe|regarder|look|
verbes|choisir|vælge|verbe|choisir|choose|
verbes|décider|beslutte|verbe|décider|decide|
verbes|expliquer|forklare|verbe|expliquer|explain|
verbes|s'exercer|øve|verbe|exercer;entraîner;pratiquer|practice|
verbes|coûter|koste|verbe|coûter|cost|
verbes|emprunter|låne|verbe|emprunter;prêter|borrow|
verbes|cuire au four|bage|verbe|cuire;four|bake|
verbes|faire bouillir|koge|verbe|bouillir;cuire|boil|
verbes|faire frire, rôtir|stege|verbe|frire;rôtir|fry|
verbes|rêver|drømme|verbe|rêver|dream|
verbes|compter|tælle|verbe|compter|count|
verbes|mettre, poser|sætte|verbe|mettre;poser|put|
verbes|tenir|holde|verbe|tenir|hold|
verbes|grandir|vokse|verbe|grandir;croître|grow|
verbes|changer|ændre|verbe|changer;modifier|change|
verbes|arriver|ankomme|verbe|arriver|arrive|
verbes|quitter|forlade|verbe|quitter|leave|
verbes|goûter|smage|verbe|goûter|taste|
verbes|partager|dele|verbe|partager|share|
verbes|marcher, randonner|vandre|verbe|marcher;randonner;errer|hike|
verbes|se dépêcher|skynde|verbe|dépêcher;presser|hurry|« skynd dig ! »
verbes|nettoyer|rengøre|verbe|nettoyer|clean|
verbes|cuisiner|kokkerere|verbe|cuisiner|cook|
verbes|fumer|ryge|verbe|fumer|smoke|
verbes|construire|bygge|verbe|construire;bâtir|build|
verbes|monter|stige|verbe|monter|rise|
verbes|se baigner|bade|verbe|baigner|bathe|se baigner
adjectifs|grand|stor|adjectif|grand|big|
adjectifs|petit|lille|adjectif|petit|small|
adjectifs|bon|god|adjectif|bon|good|
adjectifs|mauvais|dårlig|adjectif|mauvais|bad|
adjectifs|nouveau|ny|adjectif|nouveau;neuf|new|
adjectifs|vieux|gammel|adjectif|vieux;âgé|old|
adjectifs|jeune|ung|adjectif|jeune|young|
adjectifs|long|lang|adjectif|long|long|
adjectifs|court|kort|adjectif|court|short|
adjectifs|haut, grand (taille)|høj|adjectif|haut;grand|tall|
adjectifs|bas|lav|adjectif|bas|low|
adjectifs|lourd|tung|adjectif|lourd|heavy|
adjectifs|léger|let|adjectif|léger|light|
adjectifs|facile|nem|adjectif|facile|easy|
adjectifs|difficile|svær|adjectif|difficile|difficult|
adjectifs|rapide|hurtig|adjectif|rapide|fast|
adjectifs|content, heureux|glad|adjectif|content;heureux;joyeux|happy|
adjectifs|triste|trist|adjectif|triste|sad|
adjectifs|malade|syg|adjectif|malade|sick|
adjectifs|sain|sund|adjectif|sain|healthy|
adjectifs|beau|smuk|adjectif|beau|beautiful|
adjectifs|laid|grim|adjectif|laid|ugly|
adjectifs|bon marché|billig|adjectif|bon marché;pas cher|cheap|
adjectifs|cher|dyr|adjectif|cher;coûteux|expensive|
adjectifs|riche|rig|adjectif|riche|rich|
adjectifs|pauvre|fattig|adjectif|pauvre|poor|
adjectifs|sec|tør|adjectif|sec|dry|
adjectifs|mouillé|våd|adjectif|mouillé|wet|
adjectifs|propre|ren|adjectif|propre|clean|
adjectifs|sale|beskidt|adjectif|sale|dirty|
